idDBLP,title,authors,venue,year,Row_ID,duplicate
conf/vldb/HvasshovdTBH95,"the clustra telecom database: high availability, high throughput, and real-time response","s hvasshovd, ¯ torbj¿rnsen, s bratsberg, p holager",vldb,1995,25,-1
journals/sigmod/Kim02,conceptual modeling and specification generation for b2b business process based on ebxml,h kim,sigmod record,2002,26,-1
conf/vldb/LuSL95,neurorule: a connectionist approach to data mining,"h lu, r setiono, h liu",vldb,1995,27,-1
journals/sigmod/ErdurD02,a multi-agent system infrastructure for software component market-place: an ontological perspective,"r erdur, o dikenelli",sigmod record,2002,28,-1
conf/vldb/GallersdorferN95,improving performance in replicated databases through relaxed coherency,"r gallersdšrfer, m nicola",vldb,1995,29,-1
journals/sigmod/CiliaB02,an active functionality service for e-business applications,"m cilia, a buchmann",sigmod record,2002,30,-1
journals/sigmod/HummerLW02,contracting in the days of ebusiness,"w hÿmmer, w lehner, h wedekind",sigmod record,2002,31,-1
conf/vldb/LometT95,redo recovery after system crashes,"d lomet, m tuttle",vldb,1995,32,-1
conf/vldb/Wang95,db2 query parallelism: staging and implementation,y wang,vldb,1995,33,-1
journals/sigmod/Winslett02a,david dewitt speaks out,m winslett,ecord,2002,34,-1
conf/vldb/SumiyaYTSI95,a product specification database for visual prototyping,"k sumiya, k yasutake, h tanaka, n sanada, y imai",vldb,1995,35,-1
journals/sigmod/Camps02,from ternary relationship to relational tables: a case against common beliefs,r camps,sigmod record,2002,36,-1
conf/vldb/DidriksenGD95,database de-centralization - a practical approach,"t didriksen, c galindo-legaria, e dahle",vldb,1995,37,-1
journals/sigmod/HalkidiBV02,cluster validity methods: part i,"m halkidi, y batistakis, m vazirgiannis",sigmod record,2002,38,-1
journals/sigmod/PourabbasR02,a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas, m rafanelli",sigmod record,2002,39,-1
conf/vldb/HoelS95,benchmarking spatial join operations with spatial output,"e hoel, h samet",vldb,1995,40,-1
journals/sigmod/SlivinskasJS02,bringing order to query optimization,"g slivinskas, c jensen, r snodgrass",sigmod record,2002,41,-1
conf/vldb/BrownS95,bigsur: a system for the management of earth science data,"p brown, m stonebraker",vldb,1995,42,-1
conf/vldb/LeslieJBY95,efficient search of multi-dimensional b-trees,"h leslie, r jain, d birdsall, h yaghmai",vldb,1995,44,-1
journals/sigmod/CruzKLSWY02,research activities in database management and information retrieval at the university of illinois at chicago,"i cruz, a khokhar, b liu, a sistla, o wolfson, c yu",sigmod record,2002,45,-1
conf/vldb/OrensteinK95,accessing a relational database through an object-oriented database interface,"j orenstein, d kamber",vldb,1995,46,-1
journals/sigmod/LuoI02,interviewing during a tight job market,,,2002,47,-1
conf/vldb/Lindsay95,"db2 common server: technology, progress, & directions",b lindsay,vldb,1995,48,-1
journals/sigmod/Wiegand02,investigating xquery for querying across database object types,n wiegand,sigmod record,2002,49,-1
conf/vldb/KonopnickiS95,w3qs: a query system for the world-wide web,"d konopnicki, o shmueli",vldb,1995,50,-1
journals/sigmod/OrlandicLS02,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic, j lukaszuk, c swietlik",sigmod record,2002,51,-1
conf/vldb/WienerN95,oodb bulk loading revisited: the partitioned-list approach,"j wiener, j naughton",vldb,1995,52,-1
conf/vldb/Korth95,the double life of the transaction abstraction: fundamental principle and evolving system concept,h korth,vldb,1995,54,-1
journals/sigmod/Fagin02,combining fuzzy information: an overview,r fagin,sigmod record,2002,55,-1
conf/vldb/ReuterCGSW95,databases and workflow management: what is it all about? (panel),"a reuter, s ceri, j gray, b salzberg, g weikum",vldb,1995,56,-1
conf/vldb/GoyalHSS95,index concurrency control in firm real-time database systems,"b goyal, j haritsa, s seshadri, v srinivasan",vldb,1995,57,-1
journals/sigmod/LaenderRST02,a brief survey of web data extraction tools,"a laender, b ribeiro-neto, a silva, j teixeira",sigmod record,2002,58,-1
conf/vldb/BestavrosB95,value-cognizant speculative concurrency control,"a bestavros, s braoudakis",vldb,1995,59,-1
journals/sigmod/Goethals02,data warehousing and business intelligence for e-commerce - book review,f goethals,sigmod record,2002,60,-1
journals/sigmod/BerzalM02,data mining: concepts and techniques - book review,"f galiano, n mar’n",sigmod record,2002,61,-1
conf/vldb/WuYCT95,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"k wu, p yu, j chung, j teng",vldb,1995,62,-1
conf/vldb/MogiK95,hot block clustering for disk arrays with dynamic striping,"k mogi, m kitsuregawa",vldb,1995,63,-1
journals/sigmod/Snodgrass02a,tods perceptions and misconceptions,r snodgrass,sigmod record,2002,65,-1
conf/vldb/JonscherD94,an approach for building secure database federations,"d jonscher, k dittrich",vldb,1994,66,-1
journals/sigmod/YaoG02,the cougar approach to in-network query processing in sensor networks,"y yao, j gehrke",sigmod record,2002,67,-1
conf/vldb/JagadishLRSS94,dal’: a high performance main memory storage manager,"h jagadish, d lieuwen, r rastogi, a silberschatz, s sudarshan",vldb,1994,68,-1
journals/sigmod/Kuijpers02,introduction to constraint databases - book review,,,2002,69,-1
conf/vldb/Galindo-LegariaPK94,"fast, randomized join-order selection - why use transformations?","c galindo-legaria, a pellenkoft, m kersten",vldb,1994,70,-1
journals/sigmod/Weikum02,foundations of statistical natural language processing - book review,,,2002,71,-1
conf/vldb/WienerN94,bulk loading into an oodb: a performance study,"j wiener, j naughton",vldb,1994,72,-1
conf/vldb/NgH94,efficient and effective clustering methods for spatial data mining,"r ng, j han",vldb,1994,73,-1
journals/sigmod/Neven02,automata theory for xml researchers,f neven,sigmod record,2002,74,-1
journals/sigmod/WinslettCDHZZ02,database research at the university of illinois at urbana-champaign,"m winslett, k chang, a doan, j han, c zhai, y zhou",sigmod record,2002,75,-1
conf/vldb/BrownCC94,fast incremental indexing for full-text information retrieval,"e brown, j callan, w croft",vldb,1994,76,-1
journals/sigmod/Ozsu02a,chair's message,,,2002,77,-1
conf/vldb/FuC94,a transaction replication scheme for a replicated database with node autonomy,"a fu, d cheung",vldb,1994,78,-1
journals/sigmod/Hammer02a,treasurer's message,,,2002,79,-1
conf/vldb/OuzzaniAB94,a top-down approach for two level serializability,"m ouzzani, m atroun, n belkhodja",vldb,1994,80,-1
conf/vldb/FrohnLU94,access to objects by path expressions and rules,"j frohn, g lausen, h uphoff",vldb,1994,81,-1
journals/sigmod/SofferMC02,report on the mobile search workshop at www 2002,,,2002,82,-1
conf/vldb/Guting94,graphdb: modeling and querying graphs in databases,r gÿting,vldb,1994,83,-1
journals/sigmod/CrestaniG02,report on the 24th european colloquium on information retrieval research,,,2002,85,-1
conf/vldb/GutierrezPST94,database graph views: a practical model to manage persistent graphs,"a gutižrrez, p pucheral, h steffen, j thžvenin",vldb,1994,86,-1
conf/vldb/KemperK94,dual-buffering strategies in object bases,"a kemper, d kossmann",vldb,1994,87,-1
journals/sigmod/MeltonMJKS02,sql/med - a status report,"j melton, j michels, v josifovski, k kulkarni, p schwarz",sigmod record,2002,88,-1
journals/sigmod/Winslett02b,hector garcia-molina speaks out,m winslett,,2002,89,-1
conf/vldb/JohnsonS94,2q: a low overhead high performance buffer management replacement algorithm,"t johnson, d shasha",vldb,1994,90,-1
conf/vldb/BarjaPFWD94,an effective deductive object-oriented database through language integration,"m barja, n paton, a fernandes, m williams, a dinn",vldb,1994,91,-1
journals/sigmod/LightstoneLZ02,toward autonomic computing with db2 universal database,"s lightstone, g lohman, d zilio",sigmod record,2002,92,-1
conf/vldb/BaralisW94,an algebraic approach to rule analysis in expert database systems,"e baralis, j widom",vldb,1994,94,-1
journals/sigmod/FrankNS02,report on the semantic web workshop at www 2002,,,2002,95,-1
conf/vldb/AgrawalS94,fast algorithms for mining association rules in large databases,"r agrawal, r srikant",vldb,1994,96,-1
journals/sigmod/Badia02,ontologies: a silver bullet for knowledge management and electronic commerce - book review,,,2002,97,-1
conf/vldb/HaberIL95,opossum: desk-top schema management through customizable visualization,"e haber, y ioannidis, m livny",vldb,1995,98,-1
journals/sigmod/GobleR02a,the grid: an application of the semantic web,"c goble, d roure",sigmod record,2002,99,-1
conf/vldb/AgrawalPWZ95,querying shapes of histories,"r agrawal, g psaila, e wimmers, m za•t",vldb,1995,100,-1
journals/sigmod/Winslett02c,interview with david maier,,,2002,101,-1
conf/vldb/EvangelidisLS95,"the hbp-tree: a modified hb-tree supporting concurrency, recovery and node consolidation","g evangelidis, d lomet, b salzberg",vldb,1995,102,-1
journals/sigmod/Wu02,small worlds: the dynamics of networks between order and randomness - book review,,,2002,103,-1
conf/vldb/KalusD95,flexible relations - operational support of variant relational structures,"c kalus, p dadam",vldb,1995,104,-1
conf/vldb/Sarawagi95,query processing in tertiary memory databases,s sarawagi,vldb,1995,105,-1
journals/sigmod/FininJ02,"agents, turst, and information access on the semantic web","t finin, a joshi",sigmod record,2002,106,-1
journals/sigmod/SureSS02,methodology for development and employment of ontology based knowledge management applications,"y sure, s staab, r studer",sigmod record,2002,107,-1
conf/vldb/Brin95,near neighbor search in large metric spaces,s brin,vldb,1995,108,-1
conf/vldb/RamakrishnanGRSWZ95,scientific journals: extinction or explosion? (panel),"r ramakrishnan, h garcia-molina, g rossbach, a silberschatz, g wiederhold, j zijlstra",vldb,1995,109,-1
journals/sigmod/ButtlerCCFHLPRX02,querying multiple bioinformatics data sources: can semantic web research help?,"d buttler, m coleman, t critchlow, r fileto, w han, l liu, c pu, d rocco, l xiong",sigmod record,2002,110,-1
journals/sigmod/AnyanwuS02,the p operator: discovering and ranking associations on the semantic web,"k anyanwu, a sheth",sigmod record,2002,111,-1
conf/vldb/SistlaYLL95,similarity based retrieval of pictures using indices on spatial relationships,"a sistla, c yu, c liu, k liu",vldb,1995,112,-1
journals/sigmod/HalkidiBV02a,clustering validity checking methods: part ii,"m halkidi, y batistakis, m vazirgiannis",sigmod record,2002,113,-1
conf/vldb/Meier95,providing database migration tools - a practicioner's approach,a meier,vldb,1995,114,-1
journals/sigmod/Liu02b,editor's notes,l liu,sigmod record,2002,115,-1
conf/vldb/SeligmanBNSW95,metrics for accessing heterogeneous data: is there any hope? (panel),"l seligman, n belkin, e neuhold, m stonebraker, g wiederhold",vldb,1995,116,-1
conf/vldb/Vaskevitch95,"very large databases: how large, how different?",d vaskevitch,vldb,1995,117,-1
journals/sigmod/Aberer02b,book review column,k aberer,sigmod record,2002,118,-1
journals/sigmod/HuangKL02,a study on the management of semantic transaction for efficient data retrieval,"s huang, i kwan, c li",sigmod record,2002,119,-1
conf/vldb/SimonD95,promises and realities of active database systems,"e simon, a dittrich",vldb,1995,120,-1
conf/vldb/CatozziR95,os support for vldbs: unix enhancements for the teradata data base,"j catozzi, s rabinovici",vldb,1995,121,-1
journals/sigmod/Grohe02,parameterized complexity for the database theorist,m grohe,sigmod record,2002,123,-1
conf/vldb/Fecteau95,managing a db2 parallel edition database,g fecteau,vldb,1995,124,-1
journals/sigmod/RoantreeS02,research in information managment at dublin city university,"m roantree, a smeaton",sigmod record,2002,125,-1
conf/vldb/Hallmark95,the oracle warehouse,g hallmark,vldb,1995,126,-1
conf/vldb/Spintzik95,informix-online xps: a dynamically scalable rdbms for open parallel platforms,h spintzik,vldb,1995,127,-1
journals/sigmod/BoucelmaCGJLL02,report on the edbt'02 panel on scientific data integration,,,2002,128,-1
conf/vldb/AmielBDS94,supporting exceptions to schema consistency to ease schema evolution in oodbms,"e amiel, m bellosta, e dujardin, e simon",vldb,1994,129,-1
journals/sigmod/HanBP01,wrapping web data into xml,"w han, d buttler, c pu",sigmod record,2001,130,-1
journals/sigmod/Suciu01,on database theory and xml,d suciu,sigmod record,2001,131,-1
conf/vldb/ColletCS94,naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet, t coupaye, t svensen",vldb,1994,132,-1
journals/sigmod/Fankhauser01,xquery formal semantics: state and challenges,p fankhauser,sigmod record,2001,133,-1
conf/vldb/BrownMCL94,towards automated performance tuning for complex workloads,"k brown, m mehta, m carey, m livny",vldb,1994,134,-1
journals/sigmod/SchmidtWKFCMB01,why and how to benchmark xml databases,"a schmidt, f waas, m kersten, d florescu, m carey, i manolescu, r busse",sigmod record,2001,135,-1
conf/vldb/LevyMS94,query optimization by predicate move-around,"a levy, i mumick, y sagiv",vldb,1994,136,-1
journals/sigmod/Lomet01,the evolution of effective b-tree: page organization and techniques: a personal account,d lomet,sigmod record,2001,137,-1
conf/vldb/HasanM94,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,"w hasan, r motwani",vldb,1994,138,-1
journals/sigmod/TanakaV01,the ecobase project: database and web technologies for environmental information systems,"a tanaka, p valduriez",sigmod record,2001,139,-1
conf/vldb/MohaniaS94,some issues in design of distributed deductive databases,"m mohania, n sarda",vldb,1994,140,-1
conf/vldb/LiC94,semantic integration in heterogeneous databases using neural networks,"w li, c clifton",vldb,1994,141,-1
journals/sigmod/ChienTZ01,xml document versioning,"s chien, v tsotras, c zaniolo",sigmod record,2001,142,-1
conf/vldb/IdrisGC94,providing dynamic security control in a federated database,"n idris, w gray, r churchhouse",vldb,1994,143,-1
journals/sigmod/LudascherMM01,"preservation of digital data with self-validating, self-instantiating knowledge-based archives","b ludšscher, r marciano, r moore",sigmod record,2001,144,-1
journals/sigmod/ConstantopoulosCP01,"semantic web workshop: models, architectures and management",,,2001,145,-1
conf/vldb/FerrandinaMZ94,implementing lazy database updates for an object database system,"f ferrandina, t meyer, r zicari",vldb,1994,146,-1
conf/vldb/TeisseirePC94,towards event-driven modelling for database design,"m teisseire, p poncelet, r cicchetti",vldb,1994,147,-1
journals/sigmod/Winslett01,"jeffrey d. ullman speaks out on the future of higher education, startups, database theory, and more",,,2001,149,-1
conf/vldb/SetzerZ94,new concurrency control algorithms for accessing and compacting b-trees,"v setzer, a zisman",vldb,1994,150,-1
conf/vldb/GehaniJR94,odefs: a file system interface to an object-oriented database,"n gehani, h jagadish, w roome",vldb,1994,151,-1
journals/sigmod/Bernstein01,report on the 2001 sigmod and pods awards,,,2001,152,-1
journals/sigmod/BunemanFSW01,constraints for semi-structured data and xml,"p buneman, w fan, j simžon, s weinstein",sigmod record,2001,153,-1
conf/vldb/KilgerM94,indexing multiple sets,"c kilger, g moerkotte",vldb,1994,154,-1
conf/vldb/SreenathS94,the hcc-tree: an efficient index structure for object oriented databases,"b sreenath, s seshadri",vldb,1994,156,-1
conf/vldb/HoelS94,performance of data-parallel spatial operations,"e hoel, h samet",vldb,1994,157,-1
journals/sigmod/EisenbergM01,sql/xml and the sqlx informal group of companies,"a eisenberg, j melton",sigmod record,2001,158,-1
journals/sigmod/BiancheriPP01,eiha?!?: deploying web and wap services using xml technology,"c biancheri, j pazzaglia, g paddeu",sigmod record,2001,159,-1
conf/vldb/BrinkhoffK94,the impact of global clustering on spatial database systems,"t brinkhoff, h kriegel",vldb,1994,160,-1
journals/sigmod/ShahMFH01,java support for data-intensive systems: experiences building the telegraph dataflow system,"m shah, s madden, m franklin, j hellerstein",sigmod record,2001,161,-1
conf/vldb/MuntzR94,a requirement-based approach to data modeling and re-engineering,"a muntz, c ramiller",vldb,1994,162,-1
journals/sigmod/MeltonE01,sql multimedia and application packages (sql/mm),"j melton, a eisenberg",sigmod record,2001,163,-1
conf/vldb/SteenhagenABB94,from nested-loop to join queries in oodb,"h steenhagen, p apers, h blanken, r by",vldb,1994,164,-1
journals/sigmod/GunopulosK01,dimacs summer school tutorial on new frontiers in data mining,"d gunopulos, n koudas",sigmod record,2001,165,-1
conf/vldb/ChakravarthyKAK94,"composite events for active databases: semantics, contexts and detection","s chakravarthy, v krishnaprasad, e anwar, s kim",vldb,1994,166,-1
journals/sigmod/LenzeriniNNS01,report on the 8th international workshop on knowledge representation meets databases (krdb),,,2001,167,-1
conf/vldb/OzdenBRS94,a low-cost storage server for movie on demand databases,"b …zden, a biliris, r rastogi, a silberschatz",vldb,1994,168,-1
conf/vldb/Chiueh94,content-based image indexing,t chiueh,vldb,1994,170,-1
conf/vldb/DeWittKLPY94,client-server paradise,"d dewitt, n kabra, j luo, j patel, j yu",vldb,1994,171,-1
journals/sigmod/ShethMKA01,research in multi-organizational processes and semantic information brokering at the lsdis lab,"a sheth, j miller, k kochut, i arpinar",sigmod record,2001,172,-1
journals/sigmod/Cetintemel01,on the academic interview circuit: an end-to-end discussion,u ‚etintemel,sigmod record,2001,173,-1
conf/vldb/SripadaW94,cumulative updates,"s sripada, b wÿthrich",vldb,1994,174,-1
conf/vldb/ShatdalKN94,cache conscious algorithms for relational query processing,"a shatdal, c kant, j naughton",vldb,1994,175,-1
journals/sigmod/Labrinidis01,introduction to the career forum column,a labrinidis,sigmod record,2001,176,-1
conf/vldb/LevySSZ94,challenges for global information systems,"a levy, a silberschatz, d srivastava, m zemankova",vldb,1994,177,-1
journals/sigmod/BabuW01,continuous queries over data streams,"s babu, j widom",sigmod record,2001,178,-1
journals/sigmod/Huyn01,data analysis and mining in the life sciences,n huyn,sigmod record,2001,179,-1
conf/vldb/GoodmanRS94,building a laboratory information system around a c++-based object-oriented dbms,"n goodman, s rozen, l stein",vldb,1994,180,-1
conf/vldb/CochinwalaB94,a multidatabase system for tracking and retrieval of financial data,"m cochinwala, j bradley",vldb,1994,181,-1
journals/sigmod/ShanmugasundaramSKKVNT01,a general techniques for querying xml documents using a relational database system,"j shanmugasundaram, e shekita, j kiernan, r krishnamurthy, s viglas, j naughton, i tatarinov",sigmod record,2001,182,-1
conf/vldb/BernsteinD94,an overview of repository technology,"p bernstein, u dayal",vldb,1994,183,-1
journals/sigmod/Aberer01,advanced xml data processing - guest editor's introduction,k aberer,sigmod record,2001,184,-1
conf/vldb/IyerW94,data compression support in databases,"b iyer, d wilhite",vldb,1994,185,-1
journals/sigmod/Snodgrass01a,accessibility of the database literature,r snodgrass,sigmod record,2001,186,-1
journals/sigmod/Hammer01,treasurer's message,,,2001,187,-1
conf/vldb/AnandBH94,an empirical performance study of the ingres search accelerator for a large property management database system,"s anand, d bell, j hughes",vldb,1994,188,-1
conf/vldb/RosenthalS94,data integration in the large: the challenge of reuse,"a rosenthal, l seligman",vldb,1994,190,-1
journals/sigmod/LabrinidisM01,career-enhancing services at sigmod online,"a labrinidis, a mendelzon",sigmod record,2001,191,-1
conf/vldb/Lesk94,experiments on access to digital libraries: how can images and text be used together,m lesk,vldb,1994,192,-1
conf/vldb/Bernstein94,pc database systems - present and future,p bernstein,vldb,1994,193,-1
journals/sigmod/Liu01b,editor's notes,l liu,sigmod record,2001,194,-1
journals/sigmod/StolfoLCFE01,data mining-based intrusion detectors: an overview of the columbia ids project,"s stolfo, w lee, p chan, w fan, e eskin",sigmod record,2001,195,-1
conf/sigmod/BabcockO03,distributed top-k monitoring,"b babcock, c olston",sigmod conference,2003,196,-1
conf/sigmod/DasGR03,approximate join processing over data streams,"a das, j gehrke, m riedewald",sigmod conference,2003,197,-1
journals/sigmod/BarbaraCJW01,adam: a testbed for exploring the use of data mining in intrusion detection,"d barbar‡, j couto, s jajodia, n wu",sigmod record,2001,198,-1
journals/sigmod/CabreraLM01,detection and classification of intrusions and faults using sequences of system calls,"j cabrera, l lewis, r mehra",sigmod record,2001,199,-1
conf/sigmod/WangJLY03,containment join size estimation: models and methods,"w wang, h jiang, h lu, j yu",sigmod conference,2003,200,-1
conf/vldb/MartinC94,relating distributed objects,"b martin, r cattell",vldb,1994,201,-1
journals/sigmod/Aberer01a,book review column,k aberer,sigmod record,2001,202,-1
conf/vldb/YanA94,integrating a structured-text retrieval system with an object-oriented database system,"t yan, j annevelink",vldb,1994,203,-1
journals/sigmod/Cardelli01,describing semistructured data,l cardelli,sigmod record,2001,204,-1
conf/vldb/Spaccapietra94,"\user interfaces; who cares?\""""",s spaccapietra,vldb,1994,206,-1
journals/sigmod/Barbara01,special issue on data mining for intrusion detection and threat analysis - guest editor's introduction,,,2001,207,-1
conf/vldb/ZemankovaI94,scientific databases - state of the art and future directions,"m zemankova, y ioannidis",vldb,1994,208,-1
journals/sigmod/LeeF01,mining system audit data: opportunities and challenges,"w lee, w fan",sigmod record,2001,209,-1
conf/sigmod/FaginKS03,efficient similarity search and classification via rank aggregation,"r fagin, r kumar, d sivakumar",sigmod conference,2003,210,-1
journals/sigmod/SayginVC01,using unknowns to prevent discovery of association rules,"y saygin, v verykios, c clifton",sigmod record,2001,211,-1
conf/sigmod/ArasuG03,extracting structured data from web pages,"a arasu, h garcia-molina",sigmod conference,2003,212,-1
conf/sigmod/ChaudhuriGS03,factorizing complex predicates in queries to exploit indexes,"s chaudhuri, p ganesan, s sarawagi",sigmod conference,2003,213,-1
journals/sigmod/VelACM01,mining email content for author identification forensics,"o vel, a anderson, m corney, g mohay",sigmod record,2001,214,-1
journals/sigmod/Scholl01,transactional information systems - book review,,,2001,215,-1
conf/sigmod/IlyasRLGL03,estimating compilation time of a query optimizer,"i ilyas, j rao, g lohman, d gao, e lin",sigmod conference,2003,216,-1
conf/sigmod/DeligiannakisR03,extended wavelets for multiple measures,"a deligiannakis, n roussopoulos",sigmod conference,2003,217,-1
journals/sigmod/Jagadish01,information warfare and security - book review,,,2001,218,-1
journals/sigmod/Winslett01a,"gio wiederhold speaks out on moving into academia in mid-career, how to be an effective consultant, why you should be a program manager as a funding agency, the need for ontology algebra and simulations, and more",,,2001,219,-1
conf/sigmod/BabcockBDM03,chain : operator scheduling for memory minimization in data stream systems,"b babcock, s babu, m datar, r motwani",sigmod conference,2003,220,-1
journals/sigmod/LohmanGFS01,sigmod 2001 industry sessions,"g lohman, c galindo-legaria, m franklin, l seligman",sigmod record,2001,221,-1
conf/sigmod/BenediktCFFR03,capturing both types and constraints in data integration,"m benedikt, c chan, w fan, j freire, r rastogi",sigmod conference,2003,222,-1
conf/sigmod/MiloAABN03,exchanging intensional xml data,"t milo, s abiteboul, b amann, o benjelloun, f ngoc",sigmod conference,2003,224,-1
conf/vldb/TsatalosSI94,the gmap: a versatile tool for physical data independence,"o tsatalos, m solomon, y ioannidis",vldb,1994,225,-1
journals/sigmod/TianDCZ02,the design and performance evaluation of alternative xml storage strategies,"f tian, d dewitt, j chen, c zhang",sigmod record,2002,226,-1
journals/sigmod/Dogac02,guest editor's introduction,,,2002,227,-1
conf/vldb/ChaudhuriS94,including group-by in query optimization,"s chaudhuri, k shim",vldb,1994,228,-1
conf/vldb/MatthesS94,persistent threads,"f matthes, j schmidt",vldb,1994,229,-1
journals/sigmod/SommerGB02,the n-tier hub technology,"r sommer, t gulledge, d bailey",sigmod record,2002,230,-1
journals/sigmod/Cingil02,supporting global user profiles through trusted authorities,i cingil,sigmod record,2002,231,-1
conf/vldb/DavisonG94,memory-contention responsive hash joins,"d davison, g graefe",vldb,1994,232,-1
journals/sigmod/QuixSJ02,business data management for b2b electronic commerce,"c quix, m schoop, m jeusfeld",sigmod record,2002,233,-1
conf/vldb/MedianoCD94,v-trees - a storage method for long vector data,"m mediano, m casanova, m dreux",vldb,1994,234,-1
conf/vldb/GaasterlandL94,qualified answers that reflect user needs and preferences,"t gaasterland, j lobo",vldb,1994,235,-1
journals/sigmod/CuiJO02,semantic b2b integration: issues in ontology-based applications,"z cui, d jones, p o'brien",sigmod record,2002,236,-1
conf/vldb/LitwinNS94,rp*: a family of order preserving scalable distributed data structures,"w litwin, m neimat, d schneider",vldb,1994,237,-1
journals/sigmod/Bussler02,the role of b2b engines in b2b integration architectures,c bussler,sigmod record,2002,238,-1
journals/sigmod/BallMRZ02,supply chain infrastructures: system integration and information sharing,"m ball, m ma, l raschid, z zhao",sigmod record,2002,239,-1
conf/vldb/ChawatheCY94,on index selection schemes for nested object hierarchies,"s chawathe, m chen, p yu",vldb,1994,240,-1
journals/sigmod/Winslett02,interview with avi silberschatz,,,2002,241,-1
conf/vldb/SistlaYH94,reasoning about spatial relationships in picture retrieval systems,"a sistla, c yu, r haddad",vldb,1994,242,-1
journals/sigmod/Grefen02,what will be - book review,,,2002,243,-1
conf/vldb/LuOT94,on spatially partitioned temporal join,"h lu, b ooi, k tan",vldb,1994,244,-1
conf/vldb/HjelsvoldM94,modelling and querying video data,"r hjelsvold, r midtstraum",vldb,1994,245,-1
journals/sigmod/Stonebraker02,too much middleware,m stonebraker,sigmod record,2002,246,-1
conf/vldb/PirotteZMY94,materialization: a powerful and ubiquitous abstraction pattern,"a pirotte, e zim‡nyi, d massart, t yakusheva",vldb,1994,247,-1
journals/sigmod/Suciu02,the xml typechecking problem,d suciu,sigmod record,2002,248,-1
journals/sigmod/GobleR02,report on the 18th british national conference on databases (bncod),,,2002,249,-1
conf/vldb/NgY94,maximizing buffer and disk utilizations for news on-demand,"r ng, j yang",vldb,1994,250,-1
journals/sigmod/RossKMV02,reminiscences on influential papers,,,2002,251,-1
conf/vldb/PoulovassilisS94,investigation of algebraic query optimisation techniques for database programming languages,"a poulovassilis, c small",vldb,1994,252,-1
conf/vldb/XieH94,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie, j han",vldb,1994,253,-1
journals/sigmod/Elderini02,letter to sigmod record editor,n elderini,,2002,254,-1
conf/vldb/KamelF94,hilbert r-tree: an improved r-tree using fractals,"i kamel, c faloutsos",vldb,1994,255,-1
journals/sigmod/Snodgrass02,why i like working in academia,r snodgrass,sigmod record,2002,256,-1
