idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
journals/sigmod/LeeF01,llGIoKCzsiYJ,209,7500,209_7500
conf/sigmod/FaginKS03,tQZWeE_nsa0J,210,33685,210_33685
journals/sigmod/SayginVC01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604271%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,211,47333,211_47333
conf/sigmod/ArasuG03,zN8ngmWNDlgJ,212,203,212_203
conf/sigmod/ChaudhuriGS03,OFGtGwUHhUQJ,213,11069,213_11069
journals/sigmod/VelACM01,LseDURw3BXMJ,214,61495,214_61495
conf/sigmod/IlyasRLGL03,qCnvlNwYp6cJ,216,14515,216_14515
conf/sigmod/DeligiannakisR03,zMgbS5u_GwYJ,217,61577,217_61577
conf/sigmod/BabcockBDM03,a2wqpKma5J4J,220,1120,220_1120
conf/sigmod/BenediktCFFR03,T5ZdpquqfJ0J,222,27356,222_27356
journals/sigmod/TianDCZ02,JceK-ywXk8UJ,226,36892,226_36892
conf/vldb/ChaudhuriS94,bd-Lu1jeg-AJ,228,58946,228_58946
journals/sigmod/SommerGB02,8l5_eKZcCh8J,230,810,230_810
journals/sigmod/Cingil02,2K6rhX16hXwJ,231,14374,231_14374
conf/vldb/GaasterlandL94,cVgF0jn9q6MJ,235,38651,235_38651
conf/vldb/LitwinNS94,Ass0qgT-aa4J,237,48934,237_48934
journals/sigmod/Bussler02,Phcd3C1cfLcJ,238,52792,238_52792
journals/sigmod/BallMRZ02,Mfc9xsb7BuQJ,239,63576,239_63576
journals/sigmod/Stonebraker02,0HMk-YUh4i8J,246,26,246_26
journals/sigmod/Suciu02,Ikk1rb4o66UJ,248,13104,248_13104
journals/sigmod/GobleR02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,249,192,249_192
journals/sigmod/RossKMV02,tOa0zXK5Ba4J,251,38553,251_38553
conf/vldb/KamelF94,A7WoAzxOJ9YJ,255,849,255_849
journals/sigmod/Snodgrass02,_qopgNiYmXQJ,256,22558,256_22558
journals/sigmod/VassiliadisS99,eGARASwVBrUJ,257,25081,257_25081
conf/sigmod/LakshmananPZ03,rNu93TfKkd4J,258,1239,258_1239
journals/sigmod/JacobS99,3-iiSyJLwLkJ,259,50528,259_50528
conf/sigmod/GuoSBS03,p_PDgjVRUS4J,261,42578,261_42578
journals/sigmod/KempsterST99,JfmkT9KvKWoJ,262,2647,262_2647
conf/sigmod/Al-KhalifaYJ03,boJKiPCpIxkJ,263,38552,263_38552
journals/sigmod/GatziuJSV99,HtqrJuo7GSsJ,264,29992,264_29992
conf/sigmod/WangPFY03,jpNXw9L7pxgJ,265,31771,265_31771
conf/sigmod/SionAP03,_L0DhCpFaXMJ,267,26870,267_26870
conf/sigmod/AgrawalES03,HypA8oN4PqsJ,270,18378,270_18378
journals/sigmod/DongS00,gH_HDDJghbAJ,271,2206,271_2206
conf/sigmod/SchleimerWA03,nCRFjDfhOmcJ,272,10767,272_10767
conf/sigmod/JohnsonD03,5OYgUpRggiMJ,273,13887,273_13887
journals/sigmod/CeriKKLOSV00,nLbW09uNfmsJ,275,22741,275_22741
conf/sigmod/GuptaLM03,iCg06Oc9DV8J,276,5480,276_5480
conf/sigmod/AgrawalK03,ewoQO00BuFoJ,277,32030,277_32030
conf/sigmod/Ullman03,TabFkjNTLMsJ,281,38039,281_38039
journals/sigmod/BonifatiC00,hBGcwElxNoQJ,282,20379,282_20379
journals/sigmod/LiefkeS00,N0eowMtIAukJ,283,6852,283_6852
journals/sigmod/Vassilakis00,nZO8ZA4eYzYJ,285,12967,285_12967
conf/sigmod/Mamoulis03,8-eaDTdtfY4J,286,56525,286_56525
journals/sigmod/PourabbasR00,3y6y5AXu-j0J,287,62295,287_62295
conf/sigmod/JagatheesanR03,QDqI_QZyy10J,288,532,288_532
conf/sigmod/ChengKP03,kSt-Pqp2ilYJ,289,53505,289_53505
journals/sigmod/RoddickABDEGHLMMMW00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D344789%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,290,53998,290_53998
conf/sigmod/OlstonJW03,D1h_jOHVyA4J,291,30276,291_30276
journals/sigmod/LabrinidisR00,Wcbvsi-QDtcJ,292,36427,292_36427
journals/sigmod/Palpanas00,MGG31wuhuUIJ,293,35073,293_35073
conf/sigmod/AbiteboulBCMM03,Rjb06zlxbLIJ,294,42505,294_42505
conf/sigmod/BabcockCD03,mbhZ3gSR3NMJ,296,56874,296_56874
conf/sigmod/ShenNSHS03,LjrsWIr3rhAJ,297,33631,297_33631
journals/sigmod/WestmannKHM00,9jyzas_rFd4J,298,51865,298_51865
journals/sigmod/VetterliVS00,ZUMidTbSKiEJ,300,30532,300_30532
conf/sigmod/DeHaanTCO03,gyYBYgpB63sJ,301,41432,301_41432
journals/sigmod/ClementiniF00,9_GTdteKEYsJ,302,6435,302_6435
conf/sigmod/CranorJSS03,nHesT9ADTdEJ,304,23613,304_23613
conf/sigmod/Bierman03,vQcfluHWCeAJ,305,27191,305_27191
journals/sigmod/WuY00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D362096%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,306,24409,306_24409
journals/sigmod/ArpinarD00,YQQMvRraFBwJ,307,2496,307_2496
conf/sigmod/SunAA03,wR6CGftUyH0J,308,2795,308_2795
conf/sigmod/ReissK03,L1m30vG-d5sJ,309,17059,309_17059
conf/sigmod/LometT03,GidOUF_Jd4oJ,311,21281,311_21281
conf/sigmod/DeshpandeNGS03,fU6zoUKeXe8J,314,38069,314_38069
conf/sigmod/LiBKN03,micx2kyGfKIJ,315,37433,315_37433
conf/sigmod/PapadiasTFS03,MkRJhOROQjsJ,317,5601,317_5601
conf/sigmod/Stonebraker03,_CGWFOx5yt0J,322,9271,322_9271
journals/sigmod/LeeC00,b9BVLUU3P0YJ,323,20403,323_20403
journals/sigmod/Hammer00,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601859%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,325,45737,325_45737
conf/sigmod/GotoK03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D872837%26type%3Dpdf%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,333,56094,333_56094
journals/sigmod/Bussche00,CER66z1lh0MJ,334,38464,334_38464
conf/sigmod/PadmanabhanBMCH03,wI75uFSs0bwJ,335,17260,335_17260
journals/sigmod/TheodoridisN00,cFT1eKkgrikJ,336,18823,336_18823
journals/sigmod/Halevy00,czgyMu7SHcgJ,337,53325,337_53325
conf/sigmod/KriegelBKPS03,tsqBH6P4jMcJ,338,23606,338_23606
journals/sigmod/RashidS00,e0GH54HirssJ,339,44136,339_44136
conf/sigmod/ChaudhuriKN03,ES6QyfgebIcJ,341,37781,341_37781
journals/sigmod/Jhingran00,lrGge6mTVckJ,342,16669,342_16669
conf/sigmod/KimC03,BWV2Oys1VXsJ,344,33084,344_33084
journals/sigmod/HasselbringHHKRRS00,X9PsaiaoDJ4J,352,24338,352_24338
conf/sigmod/GangulyGR03,Di-EjDZ_abYJ,353,17022,353_17022
journals/sigmod/YuenCLL00,Ip82P4QfKyEJ,355,31360,355_31360
conf/sigmod/ChaudhuriGGM03,H5IdN0_MQw4J,356,37106,356_37106
conf/sigmod/KementsietsidisAM03,vO7aBWspoyMJ,357,3194,357_3194
journals/sigmod/BernsteinHP00,FFzJxlpy6TsJ,358,3673,358_3673
conf/sigmod/StoltePAG03,9WTNlminW6AJ,359,5547,359_5547
conf/sigmod/GuptaS03,6ditJPVnXAQJ,361,35223,361_35223
journals/sigmod/BoscMP01,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D373708%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,363,51534,363_51534
conf/sigmod/PengC03,4Zlh-TEx9m4J,364,42365,364_42365
conf/sigmod/ZhangZPTL03,S3lELcdpzTkJ,365,53038,365_53038
conf/sigmod/MaddenFHH03,qz24tfFNHuoJ,368,21321,368_21321
conf/sigmod/MinPC03,JjrRZt4ONqMJ,369,42319,369_42319
journals/sigmod/BertinoEH01,Rba70P6SqQYJ,370,33915,370_33915
journals/sigmod/FengJH01,SUT-QTwqFNkJ,372,57526,372_57526
conf/sigmod/Dyreson03,l7KC1qG6OGEJ,373,1430,373_1430
journals/sigmod/Critchlow01,wuQbvQAcACsJ,375,56982,375_56982
conf/sigmod/ZhuS03,hIGjgc6mx0cJ,376,11354,376_11354
conf/sigmod/MelnikRB03,wfjeWtEY2NcJ,378,22343,378_22343
conf/sigmod/KangN03,ABztkd0E9lUJ,379,33713,379_33713
journals/sigmod/Aggarwal01,OE8gpNwz8MkJ,380,19867,380_19867
conf/sigmod/HeC03,MNmlxFx4l-8J,381,38534,381_38534
conf/sigmod/CohenM03,bQv5hYB-JIEJ,383,63184,383_63184
journals/sigmod/PuSW01,nkW4iN6JqfAJ,384,33212,384_33212
journals/sigmod/MeltzerC98,77mq-gn4LiAJ,390,35294,390_35294
conf/sigmod/ChungMS02,UmPir9n5JloJ,391,34289,391_34289
journals/sigmod/BichlerSZ98,fQNdA5cjapAJ,392,21996,392_21996
conf/sigmod/Grust02,-3LAxRNpDJIJ,393,29692,393_29692
conf/sigmod/ZadorozhnyRVUB02,xmE1380_4E4J,395,6462,395_6462
journals/sigmod/EisenbergM98a,AatoNnELw78J,396,39144,396_39144
journals/sigmod/Ritter98,mzqmEYGGT_IJ,397,44153,397_44153
conf/sigmod/OlstonW02,pBKI-JCAlcIJ,398,2288,398_2288
conf/sigmod/MaddenSHR02,7n7LvbccBZoJ,400,25071,400_25071
journals/sigmod/BollKB98,IBg3vuolFUwJ,402,44721,402_44721
journals/sigmod/ReichB98,HzOZXA_VJk8J,403,32708,403_32708
conf/sigmod/RiedewaldAA02,nQvBo5KHITYJ,404,61320,404_61320
journals/sigmod/JenningsNF98,YiZVv5kVDb4J,406,49414,406_49414
conf/sigmod/Chamberlin03,lEqiau26hxoJ,407,17106,407_17106
journals/sigmod/DogacDATKCD98,vG5FK8BJkZgJ,408,53688,408_53688
journals/sigmod/Dogac98,YG9Js5mJbV0J,409,1086,409_1086
conf/sigmod/KoudasS03,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D872871%26type%3Dpdf%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,412,60795,412_60795
conf/sigmod/KornMZ03,6VAQeD6muakJ,413,842,413_842
journals/sigmod/Domingo-FerrerH98,ajq2idLfpHMJ,414,57485,414_57485
conf/sigmod/SengarH03,7Mtanhr8EKoJ,416,49339,416_49339
conf/sigmod/ZhuSZ03,7VSlB0yIt3YJ,420,46489,420_46489
journals/sigmod/NascimentoM99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310062%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,422,37354,422_37354
journals/sigmod/RoantreeMH99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310066%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,424,60861,424_60861
conf/sigmod/ChoALS03,MAdjH9lCsysJ,425,5180,425_5180
journals/sigmod/Danish98,mKZyoPZArGcJ,427,44894,427_44894
conf/sigmod/ZhouWGGZWXYF03,AwFxLUGiceUJ,428,8432,428_8432
journals/sigmod/CareyS99,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310071%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,429,167,429_167
conf/sigmod/DeshpandeNGS03a,sfB17Fi4MZsJ,430,45192,430_45192
journals/sigmod/EisenbergM99,ciavnyh4U8UJ,431,16648,431_16648
journals/sigmod/Mackay99,tzUxfh8dD9sJ,433,46619,433_46619
conf/sigmod/Amer-YahiaFSX03,7-b5YXuGJS0J,434,17300,434_17300
journals/sigmod/ForteHWDCVHFS99,7ML1mmPqIooJ,436,15808,436_15808
journals/sigmod/BergamaschiCV99,4C9A2HGs4qsJ,442,39336,442_39336
journals/sigmod/SmithO99, ,445,3332,445_3332
conf/sigmod/LakshmananPZ03a,4sJ3mLPGGVQJ,447,37621,447_37621
journals/sigmod/Hampapur99,I-r1LE1najAJ,448,7533,448_7533
journals/sigmod/SycaraKWL99,YgouJdrCoZQJ,450,19730,450_19730
conf/sigmod/ShashaB02a,DEl2TsijDYEJ,451,27995,451_27995
journals/sigmod/PapazoglouH99,WbsAK4ZE17YJ,452,27649,452_27649
conf/sigmod/ViglasN02,2aeb_pBP7lcJ,454,18746,454_18746
journals/sigmod/FowlerPNB99,VgTAaMMYkvAJ,456,11521,456_11521
journals/sigmod/KuanL99,lkrtCULVA6oJ,457,59599,457_59599
conf/sigmod/HinneburgKW02,VWd7jhLXfV0J,458,56738,458_56738
journals/sigmod/CeriFP99,zCbDZVfxWhAJ,459,45995,459_45995
conf/sigmod/PhanN02,LLIkm2GMqakJ,460,42874,460_42874
conf/sigmod/Bonnet02,bqyt1789jJ8J,462,6026,462_6026
journals/sigmod/GruenwaldBDGSSV99,ihljCMaS2UsJ,465,5720,465_5720
journals/sigmod/DomenigD99,S6TMGRGUq1IJ,467,15222,467_15222
conf/sigmod/MaddenH02,NXakCefUcdUJ,468,57438,468_57438
conf/sigmod/HanWDPW02,nwWpGh3Mx7MJ,472,32496,472_32496
conf/sigmod/KarbhariRXD02,TZsVVmiiHqEJ,473,38393,473_38393
conf/sigmod/AltinelLKMPLWB02,zzg3KI_fyyIJ,475,62940,475_62940
journals/sigmod/BernsteinDK99,ne7WhiSL9QYJ,476,17699,476_17699
conf/sigmod/FungSG02,_H4-ZecAsp0J,477,54128,477_54128
conf/sigmod/DogacTPPLKTK02,wi8177RdPBYJ,481,44194,481_44194
conf/sigmod/BumbulisB02,Ev27auQiecUJ,483,60801,483_60801
conf/sigmod/Weininger02,iXkSngvyu08J,485,62100,485_62100
journals/sigmod/ConradHHKRSS99,nmEhI0tiWGAJ,486,44261,486_44261
conf/sigmod/RaoZML02,7Ucs6vmjHN0J,488,11308,488_11308
journals/sigmod/BoulosO99,yzbCsw2erkcJ,489,12460,489_12460
conf/sigmod/SismanisDRK02,Y21HA44xuQ4J,492,7995,492_7995
journals/sigmod/RamDD99,uA-E1lBgLe0J,493,38769,493_38769
conf/sigmod/ChaudhuriGN02,KrfR8djb3C8J,494,23638,494_23638
journals/sigmod/PapianiWDN99,HxmnEeCigX8J,495,59280,495_59280
conf/sigmod/BhattacharyaMBNHS02,tsQbSCfQTooJ,496,35638,496_35638
journals/sigmod/Etzion99,aDxXrqrMy9IJ,497,26778,497_26778
conf/sigmod/MoonWH02,rlfxeE4k2p4J,498,18119,498_18119
conf/sigmod/WangWYY02,DRp1iFn7znkJ,499,57718,499_57718
journals/sigmod/HansonN99,b5uRDGKYrcMJ,500,17490,500_17490
journals/sigmod/Libkin99,zSO1Y5W7WkwJ,501,31189,501_31189
conf/sigmod/ThaperGIK02,sbFGKHjg-TcJ,503,13487,503_13487
conf/sigmod/BrunoC02,KAf2DUUVabIJ,505,29630,505_29630
journals/sigmod/Abiteboul99,J_7kZS39msAJ,506,62245,506_62245
conf/sigmod/Ramanan02,VGe-IBWyMm4J,507,59315,507_59315
journals/sigmod/MusickC99,mA4kKq9Z3tYJ,510,10204,510_10204
conf/sigmod/GaoW02,PZTESZecfnQJ,511,46903,511_46903
journals/sigmod/EisenbergM99a,e3s4OFTeBqwJ,512,2107,512_2107
journals/sigmod/McHughW97,dAnyGPqToQEJ,514,21834,514_21834
journals/sigmod/AtzeniMM97,Hdq-Mlh3fcMJ,515,12869,515_12869
conf/sigmod/DobraGGR02,v7A9Otp7OjsJ,516,57628,516_57628
conf/sigmod/ZhouR02, ,519,59155,519_59155
journals/sigmod/NestorovAM97,NVS_rDpScp0J,520,50884,520_50884
conf/sigmod/FreireHRRS02,1p-q7eofLWIJ,522,6171,522_6171
journals/sigmod/NadoH97,yN9f4dSKC9QJ,523,18622,523_18622
conf/sigmod/LiGS02,DZzqgw2TJ-MJ,524,2419,524_2419
journals/sigmod/AshishK97,rWfbcLnj7_YJ,525,35583,525_35583
conf/sigmod/TatarinovVBSSZ02,0HlMHEPJRH4J,526,47496,526_47496
conf/sigmod/PapakonstantinouPV02,5XmfwqNDii8J,527,32587,527_32587
conf/sigmod/DasuJMS02,POt1WbTBB4cJ,530,9640,530_9640
journals/sigmod/GrayG97,fFCqy9V5XNgJ,531,3293,531_3293
conf/sigmod/GillmannWW02,idT5wOZXM-wJ,532,3756,532_3756
conf/sigmod/GuhaJKSY02,z6l0wfs32iYJ,533,53835,533_53835
journals/sigmod/DadamK97,9Ai_9dZChG4J,535,16198,535_16198
conf/sigmod/RamanH02,F0T3KimkbGcJ,536,33905,536_33905
conf/sigmod/TaoP02,fDWfHiQ6BR4J,537,25812,537_25812
journals/sigmod/ConradEHRSSSV97,SBnqbyQF3SoJ,538,63163,538_63163
conf/sigmod/BrunoKS02,GahdNMZNCWgJ,539,6494,539_6494
journals/sigmod/McClatcheyV97,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D271087%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,540,41707,540_41707
conf/sigmod/PolyzotisG02,obfTDYVJb4gJ,541,37953,541_37953
journals/sigmod/GuptaHR97,YSgaDQ95dfEJ,543,7998,543_7998
conf/sigmod/ChangH02,4zxRX5K-YSsJ,544,29994,544_29994
conf/sigmod/YangWYH02,xsaovu54vl4J,546,62330,546_62330
journals/sigmod/BarbaraS97,Iw5bYR098o4J,547,20133,547_20133
conf/sigmod/ChoiC02,D8a4umAppIcJ,548,37987,548_37987
journals/sigmod/ClementLGMK97,J7Y20fYLGbcJ,549,39486,549_39486
conf/sigmod/GarofalakisG02,6EaC2CmjsmAJ,550,9541,550_9541
conf/sigmod/JosifovskiSHL02,xA9KNostV4cJ,551,49150,551_49150
journals/sigmod/RamamrithamS97,HR-yLNuhtl4J,552,19156,552_19156
journals/sigmod/FernandezFLS97,9NlVdFCl2ysJ,554,18836,554_18836
journals/sigmod/HadzilacosT97,a8YsBAmwFjoJ,555,62875,555_62875
conf/sigmod/SzalayGTKMRSv02,1tKWKmyczaYJ,556,13335,556_13335
conf/sigmod/PossSKL02,c3QptREmhgAJ,557,30180,557_30180
journals/sigmod/JukicV97,yZbJS0Cd6cAJ,558,50164,558_50164
journals/sigmod/SilberschatzZ97,7JRwRy6VapMJ,559,10467,559_10467
conf/sigmod/AntonJLPZZ02,89P3EdEDuOEJ,561,37888,561_37888
journals/sigmod/Fong97,rgJU30QjbhkJ,562,1034,562_1034
journals/sigmod/RamanathanH97,EID4UO0Kv04J,563,18907,563_18907
conf/sigmod/LuoKMPWLN02,zQfzn1t6Xq8J,564,48428,564_48428
conf/sigmod/MarklL02,b7IXEwTLIHAJ,565,6150,565_6150
journals/sigmod/ChaudhuriD97,oXTd748VmwMJ,566,30046,566_30046
conf/sigmod/ZhangMCMR02,rvZQMrCOQ1MJ,567,15756,567_15756
conf/sigmod/TheobaldW02,w5_HkketH-wJ,569,18324,569_18324
journals/sigmod/McHughAGQW97,qKb2ZxD1IsYJ,570,15436,570_15436
journals/sigmod/FrewD97,5jMT1PENhSIJ,574,7924,574_7924
conf/sigmod/RundensteinerWYD02,7MfXAAdBQ2EJ,577,2592,577_2592
journals/sigmod/ChangGKRS98,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D290607%26type%3Dpdf%26dl%3Dportal%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,581,53127,581_53127
conf/sigmod/FlorescuGKR02,uam2rv99rxsJ,582,27818,582_27818
conf/sigmod/CrescenziMM02,pI0WktymowwJ,583,13296,583_13296
journals/sigmod/FlorescuLM98,_SR_pRTnA6IJ,584,29830,584_29830
journals/sigmod/KeetonPH98,6MtRlhEClPEJ,585,37298,585_37298
conf/sigmod/Bussler02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D564801%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,586,53150,586_53150
journals/sigmod/Lomet98,xLM0YVcccUgJ,588,6108,588_6108
journals/sigmod/GriffinK98,Qvl2bcDAyqEJ,589,13297,589_13297
journals/sigmod/CheungF98,ig7B9agTOMAJ,591,54126,591_54126
conf/sigmod/Cotton02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D564792%26type%3Dpdf,592,57124,592_57124
