idScholar,title,authors,venue,year,ROW_ID
ZpOG6KM-mgoJ,Learning with kernels [Ph. D. Thesis],AJ Smola,"Technical University of Berlin,",,37
x28I9Elj9KIJ,Caldwell,"P Consultants, B PC","&hellip;  for Comparison of Supplemental Technology Demonstration  &hellip;,",,38
K_qOxjIJWpQJ,Data in Your Face&quot;: Push Technology in Perspective (Invited Paper) ACM SIGMOD Intl,"M Franklin, S Zdonik","Conference on Management of Data, Seattle, WA, June,",,39
l8WNeX0WeSAJ,"Service specification and protocol construction for a layered architecture, University of Maryland  ",SL Murphy,"MD,",,40
PL5DRujtg88J,Foot orthoses.. Williams &amp; Wilkins: Baltimore,KK Wu,"MD,",,41
ejmFgnEkip8J,Tools for statistical inference,MA Tanner,,1993,42
AELK1VrNZ40J,Temperatures necessary to kill fungi in wood,S Chidester,"Proceedings of the 23rd Annual Meeting of the American Wood- &hellip;,",,43
2KtUhuZ4z6QJ,Modeling and Analysis of a Traveling Wave Tube Under Multitone Excitation,JG Wohlbier,,2000,44
HTf9AkxlLV8J,Lohman. GM R* Optimizer Validation and Performance Evaluation for Local Queries,LF Mackert,"Proceedings of SIGMODÌ¢??86. Washington. May,",,45
OhxtDo0PX1cJ,Load Balancing in Dynamic Structured P2P Systems,SSY Patel,,,46
OYUlnDgBsHgJ,Virtual Communities of Transaction: The Role of Personalization in Electronic Commerce,P SCHUBERT,"Electronic Markets,",2000,47
RZ1wfgINGFoJ,Unitary representations realized in L 2-sections of vector bundles over semi-simple symmetric spaces,T Kobayashi,Proc. of the 27-28th Symp. of Funct. Anal. and Real Anal.(,,48
78PlrdpBT8sJ,Dimethyl ether(DME) spray characteristics in a common-rail fuel injection system.,J Yu,"Proceedings of the Institution of Mechanical Engineers D,  &hellip;,",2003,49
oc6SJkjsQH8J,"Crypt BreakerÌ¢??s Workbench users manual,&quot;",RW Baldwin,"MIT Laboratory for Computer Science (October 1986), unpublished ",,50
jGMegWjZY4gJ,Nasal continuous positive airways pressure immediately after extubation for preventing morbidity in  ,"PG Davis, DJ Henderson-Smart","Cochrane Database Syst Rev,",2000,51
vuuzUzVRnTsJ,"Mentoring Undergraduate Minority Students: An Overview, Survey, and Model Program","MC Terrell, RK Hassell","NEW DIRECTIONS FOR TEACHING AND LEARNING,",1994,52
r7Nwb5Ja0V4J,Optimally sparse representations in general dictionaries by l 1 minimization,"D Donoho, M Elad","Technical Report, Statistics Department, Stanford University, ",,53
qSmbg2Pmas0J,Tunning RED for Web Traffic,"M Christiansen, K Jeffay, D Ott, FD Smith",Proc.,,54
nN73C1WoRB8J,A sigma~ 3 type condition for heavy cycles in weighted graphs,"S Zhang, X Li, H Broersma","DISCUSSIONES MATHEMATICAE GRAPH THEORY,",2001,55
ni6q3Ow1X1AJ,"Qualitative Ì¢??Ì¢??versusÌ¢??Ì¢??quantitative methods in social research, Dept of Sociology, U",T Wilson,"California at Santa Barbara,",,56
HGo-3LYtAooJ,The Art of Deliberalizing: A Handbook for the True Professional.,WC Booth,"New Directions for Teaching and Learning,",1990,57
tGNFoB_K6WwJ,"ÌÄå¢Ì¢?åÂ ÌÉ?Conflict Detection Tradeoffs for Replicated Data, ÌÄå¢Ì¢?åÂÌâ?","JM Carey, M Livny",ACM,,58
Ei9esmN5czwJ,Internal and External Motivation to Respond Without Prejudice,"E Ashby Plant, PG Devine","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1998,59
url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3D2147016CI,White Christmas could become dream.,W Brandel,"COMPUTERWORLD.,",1989,60
uWeDXtelPrMJ,Virtual reality: Through the new looking glass,"K Pimentel, K Teixeira",,1993,61
zKnfv086qLYJ,"Biological Data Management: Research, Practice and Opportunities",T Topaloglou,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2004,62
s_0_4qYX9w0J,Myocardial infarction and the emotional climate,"AH Crisp, M Queenan, MF D'SouzaÌ¢?å_","Lancet, i,",1984,63
ctG34FDMmUoJ,"A Resource for Your Cosmetology Career, 2000 Edition",S Fundamentals,,,64
XCdKCLPJ9gkJ,On the nature of continental shelves: Academic Press,JJ WALSH,"San Diego,",,65
bA8eKd7mQVgJ,Detection of change-points in nonparametric regression,PL Speckman,"Unpublished manuscript,",1994,66
EeTtbmdFG94J,Measuring the light regime under vegetation.,CA Federer,,1964,67
8HeCBYmbIQ0J,Predicting the Benefits of Information Retrieval Techniques,A Arnt,,,68
TL5mfdKmYeUJ,"Visualization, Optimization, and Business Strategy","DL Gresh, EI Kelton","D. Gresh, E. Kelton, Proceedings, IEEE Visualization,",,69
AKJwRjF08K0J,The Defect Structure and Mechanical Properties of Spinel Single Crystals,MH Lewis,"Phil. Mag,",,70
tjou0W77VQ4J,Real-Time networking for the implementation of CIM,"LR Lin, HP Huang",Proc. Int. Conf. Automation,,71
pVzuVkEC4jwJ,Progress in the Development of Large Area Sub-millimeter Resolution CdZnTe Strip Detectors,"JR Macri, DV Boykin, K Larson, M Mayer, ML  ","Proc. SPIE,",1996,72
apuTfXq8rR0J,Convergent Stakeholder Theory,"TM Jones, AC Wicks","The Academy of Management Review,",1999,73
EsKG9q0qKyAJ,Hierarchical grouping in Artificial Intelligence. AAAI Spring Symposium on Artificial Intelligence  ,M Mortimer,,2000,74
Hftb0dapCC4J,Students in learning groups: Active learning through conversation,"C Bouton, RY Garth","Learning in Groups, New Directions for Teaching and",,75
QzjeEU1-zX8J,Hierarchical and variation geometric modeling with wavelets. In proceedings of the 1995 Symposium on ,"SJ Gortler, MF Cohen",,1995,76
PqcIPSRQCWMJ,"Process Specification Language: An Analysis of Existing Representations, NISTIR 6160, National  ","A Knutilla, C Schlenoff, S Ray, ST Polyak, A Tate, ","MD,",,77
p6PzqUPVOFMJ,New Chance: Implementing a comprehensive program for teenage parents and their children,"J Quint, B Fink, S Rowser",,1991,78
qEEE1vE37TQJ,Adding Some Spice to CSI Curricula,"G Holmes, TC Smith","Proceedings of SZGCSE Ì¢??97,",1997,79
url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DN7626882AH,Hardware and System Architecture for a Very Large Database,"R HEALEY, B HECKMAN","VLDB,",1975,80
5KE8pei0YGYJ,Genetic-Algorithm Programming Environments,"JLR Filho, PC Treleaven, C Alippi",,,81
AeC4rMZEHpUJ,Interactive med. 3D-simulations by means of stereoscopy and standard hardware,"H WÌÄå_rn, J MÌÄå_hlingÌ¢?å_","Rechner-u. SensorgestÌÄå_tzte Chirurgie-Procs, GI,",,82
YrHcYfNlU_kJ,"Semantics, Pragmatics, and Second Language Acquisition: The Case of combien Extractions","L Dekydtspotter, RA Sprouse, K Swanson, R Thyre","Proceedings of the 23rd Annual Boston University Conference  &hellip;,",,83
97VsqVpS6BgJ,"coauthors, 2003: European temperature variability over the last 500 years, uncertainties, extremes  ",J Luterbacher,,,84
V95A5wSijwMJ,Understandittg ActiveX and OLE,D Chappell,,,85
RCLVo9hzbY8J,"Object, Message, and Performance: How They Coexist in Self","D Ungar, RB Smith, C Chambers",,,86
G4Ry1kNYqJwJ,LISP.,VR Pratt,,1977,87
53H7hIhiY_oJ,"stevens CE, Harley EJ, Zang EA, Oleszko WR, William DC, et al",W Szmuness,"Hepatitis B vaccine: Demonstration of efficacy in a  &hellip;,",,88
JVtIV8YSaaYJ,Sybase IQ Multiplex-Designed For Analytics,"R MacNicol, B French",,,89
GEpXbBgtUp8J,Characterizing the effects of clock jitter due to substrate noise in discrete-time 1= 6 modulators,P Heydari,"Proc. IEEE/ACM Design Automation Conf,",,90
IDBPFmg04zMJ,Algebraic Attacks on Combiners with Memory,"F Armknecht, M Krause",,,91
8uZb1iH-RoYJ,Congenital Diaphragmatic Hernia-Morgagni Type,"L Sinclair, BL Klein","JOURNAL OF EMERGENCY MEDICINE,",1993,92
cYBLn4lzawcJ,Acquiring Student Feedback That Improves Instruction.,HG Murray,"New Directions for Teaching and Learning,",1987,93
CcCoxyn-TjEJ,DRAFTER: An Interactive Support Tool for Writing Multilingual Instructions,"C Paris, K Vander Linden",,,94
eVmosockte4J,Bill 1989Ì¢??Select Committee,P Offences,,,95
Pwzqj15AEKgJ,New developments in laser resonators,AE Siegman,,1990,96
KIjV9lwn70EJ,On Modelling Behavloural Semantics of Data,M Brodm,"Proc 7th Int&#39;l Conf VLDB,",,97
LU7BfMnARgYJ,Comparing Data Streams Using Hamming Norms (How to Zero In),"G Cormode, M Datar, P Indyk, S Muthukrishnan","IEEE Transactions on Knowledge and Data Engineering,",2003,98
M7up_B3A8YgJ,A quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria,"DM Webber, IP Braidman, WR Robertson, DC Anderson","The Histochemical Journal,",1988,99
gLLjcrLSddsJ,What are the national regimes and local traditions of social welfare and their historical derivation ,R Greca,,1995,100
kI-Hiv-7NZsJ,Gastroenteritis due to Kanagawa negative Vibrio parahaemolyticus,", I Goto, I Minematsu, N Ikeda, N Asano, M  ","Lancet i,",1987,101
izDXhqRW9AYJ,DEVise: integrated queryingand visual explorationof large datasets,"M Livny, R Ramakrishnan, K Beyer, G Chen, D  ","Proceedings of the 1997ACM-SIGMOD Conference,",,102
j2gOIcgWxb4J,Efficient Numerical Error Bounding for Replicated Network Services,HY AminVahdat,"Technical Report CS-2000-08, Computer Science Department, Duke ",,103
eFF15B-MYzoJ,Affinity Relation Discovery in Image Database Clustering and Content-based Retrieval,"ML Shyu, SC Chen, M Chen, C Zhang","Proceedings of the 12th annual ACM international conference  &hellip;,",2004,104
AVGTDRLrxUkJ,Vision-based Pedestrian Detection: will Ants Help?,"M Bertozzi, A Broggi, A Fascioli",,,105
6kZN4cd0zWAJ,Evaluating Administrators.,DP Hoyt,"New Directions for Higher Education,",1982,106
Ln_zzsWBNosJ,Initial Results from the EUV Engineering Test Stand,"D Tichenor, A Ray-Chaudhuri, S Lee, H Chapman, W  ",,,107
BKUtItHoTX8J,Information Gathering in the World Wide Web: The W3QL Query Language and the W3QS System,"D Konopnicki, O Shmueli","ACM Transactions on Database Systems,",1998,108
9lEXpgZ6K5QJ,On the design of a distributed query processing algorithm,"CT Yu, C Chang, M TEMPLETON, D BRILL, E LUND",Proceedings of the ACM-SIGMOD International Conference on ,,109
HBTKLk8SRrAJ,"Babel: A testbed for research in origins of language, 1998",A McIntyre,Submitted for,,110
url:http://www.csa.com/partners/viewrecord.php%3Frequester%3Dgs%26collection%3DTRD%26recid%3DA8622976AH,Observations of frontal zone structures with a VHF Doppler radar and radiosondes,"MF LARSEN, J ROETTGER","Conference on Radar Meteorology, 22 nd, Zurich, Switzerland,",1984,111
kXnVNkLTpfQJ,"When Gulliver travels: Social context, psychological closeness, and self-appraisals","JD Brown, NJ Novick, KA Lord, JM Richards","Journal of Personality and Social Psychology,",,112
url:http://www.springerlink.com/index/XV80363546U051U2.pdf,List of Acronyms,ANXAN Exchange,"BT Technology Journal,",2001,113
BPdmg5Ipu9kJ,"Survey of Job Shop Scheduling Techniques, NISTIR, National Institute of Standards and Technology,  ","A Jones, LC Rabelo","MD,",,114
5wiLuVdexv0J,Energy Conservation 2000 Mayville and Horicon: A Study Of A Community-Based Program,"B Neal, C Sabo","Wisconsin Demand-Side Demonstration, April,",,115
Yvpk-M9_u-AJ,"Heated, humidified air for the common cold",M Singh,"Cochrane Database Syst Rev,",2000,116
HvWZ2rxAO5UJ,Code compression,"J Ernst, W Evans, CW Fraser, TA Proebsting, S  ","Proceedings of the ACM SIGPLAN 1997 conference on  &hellip;,",1997,117
YAkpVC1qgaIJ,ARIADNE: A System for Constructing Mediators for Internet Sources (Demonstration),"J Ambite, N Ashish, G Barish, A Knoblock, S Minton ","Proceedings of ACM SIGMODÌ¢??98 conference on Management of  &hellip;,",,118
3uMQgG34ohYJ,Cost Effective Dynamic Program Slicing,"X Zhang, R Gupta",,,119
aHyAwwaO2roJ,Pan-Browser Support for Annotations and Other Meta-Information on the World Wide Web,"MA Schickler, MS Mazer, C Brooks","WWW5 / Computer Networks,",1996,120
BeJLx2x8BZkJ,How Coping Mediates the Effect of Optimism on Distress: A Study of Women With Early Stage Breast  ,"CS Carver, C Pozo, SD Harris, V NoriegaÌ¢?å_","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993,121
k2LFZSt_NcoJ,Aspects of disc brake judder,H Jacobsson,"Proceedings of the I MECH E Part D Journal of Automobile  &hellip;,",2003,122
bmsONqxQp80J,Getting Started: Informal Small-Group Strategies in Large Classes,"JL Cooper, P Robinson","New Directions for Teaching and Learning,",2000,123
BKvmjX7abn0J,Thread-local heaps for Java,"T Domani, G Goldshtein, EK Kolodner, E Lewis, E  ",,,124
4EzsmZ6_1g0J,Revisiting scholarship,C KreberÌ¢?å_,"New Directions for Teaching and Learning, No,",,125
uUFs74KwOnAJ,Roussopoulos. PerformanceandScalabilityofClient-Server Database Architecture,A DelisandN,,1992,126
MDr5xBsWWWoJ,Scalable session messages in SRM using self-configuration,"P Sharma, D Estrin, S Floyd, L Zhang",,,127
IHGqccRqSQkJ,"Reyes, De Los, Guillermo",P Revere,,,128
i3SXq8EbKDYJ,Transputer implementation of Kalman filters,"LP Maguire, GW Irwin",,,129
UC4EaQQMXU0J,Waiting Times For Stationary Processes,"I Kontoyiannis, A Recurrence","Technical Report No. 92, Stanford University, July",,130
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D1101204%26type%3Dpdf,JADE: Jabber-based Authoring in Distributed Environments,"A Roczniak, A El Saddik","Proceedings of the 13th annual ACM international conference  &hellip;,",2005,131
CUC4O67UnuYJ,A finite element method for the dynamic analysis of automatic transmission gear shifting with a four ,"N Zhang, A Crowther, DK Liu, J Jeyakumaran",,,132
pAhGk5H9_4kJ,"HERMES: A Heterogeneous Reasoning and Mediator System, 1994","VS Subrahmanian, S Adali, A Brink, R Emery, JL Lu, ",Submitted for,,133
y81qtjGBUykJ,Proposed Air Force Guidelines for Successfully Supporting the Intrinsic Remediation (Natural  ,"TH Wiedemeier, JT Wilson, DH Kampbell, RN Miller","Proceedings, 1994 Outdoor Action Conference, May 23-25,  &hellip;,",,134
Mqg5svJwsCoJ,Multimedia Miner: A System Prototype for Multimedia Data Mining,", J Han, SH Chee, JY Chiang","Proceedings of ACM-SIGMOD International Conference on  &hellip;,",1998,135
ANV3iCMnGQYJ,"Integration of Teaching and Research: Myth, Reality, and Possibility",M Weimer,"New Directions for Teaching and Learning,",1997,136
gUDVTijP9PcJ,A Value-Added Model for Electronic Commerce,TO'Daniel,"Electronic Markets,",,137
HyP3ZqESqhoJ,Photoprotection by carotenoids,MM Mathews-Roth,"Fed Proc,",1987,138
uGckiXpZzZIJ,Prehospital Cardiac Arrest Survival and Neurologic Recovery,"M Hillis, D Sinclair, G Butler, E Cain","JOURNAL OF EMERGENCY MEDICINE,",1993,139
xG3ZAYDt_HcJ,Inside Visual C++,JK David,,1996,140
pScXi8veb-oJ,Preferential treatment for short flows to reduce web latency,"X Chen, J Heidemann","Computer Networks,",2003,141
NX7DdvxAtogJ,Instrumental Stakeholder Theory: A Synthesis of Ethics and Economics,TM Jones,"The Academy of Management Review,",1995,142
qPDh4xVUMbwJ,Curves and Surfaces in Computer Aided Geometric Design,G Farin,,,143
42whesD5Rl8J,A Data warehouse Intelligent Cache Manager [C],P SchenermannÌ¢?å_,"Proc Of the 22nd VLDB Conf,",,144
2HQ1HEki1_4J,"Assessment, Enhancement, and Verification Determinants of the Self-Evaluation Process",C Sedikides,"JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,",1993,145
Nm4mm1zJfj8J,The velocity of sound below 1 K,"KR Atkins, DV Osborne","Phil. Mag,",,146
url:http://www.springerlink.com/index/G17323245151166V.pdf,"Dye standards, Part I: terminology and general principles","H Lyon, E Schulte, A de Leenheer, S Lewis, V  ","The Histochemical Journal,",1992,147
K6Zu6bla8GgJ,Estimating DNA sequence entropy,JK Lanctot,,,148
hxQ_qO69Y1cJ,svÌâåÇ JeuxantiquesÌâåÈ,VE Encarta,,1993,149
n9_CfMTousYJ,"Learning plateaus in generalized cognitive condensations: phase transition, path dependence and  ","R Wallace, R Fullilove",,2001,150
awu_PrmgYnUJ,Multiaccess of a slotted channel using a control mini-slot,"L Merakos, D Kazakos","Proc. Int. Conf. Communications,",,151
bGadjxyzDHAJ,Urban Watershed GIS Models for Neighborhood Environmental Education. 1997 ACSM/ASPRS Annual  ,"CJ Van Zee, P Hayes","Seattle, Washington, April,",,152
J2Y-Zn-aC5YJ,Plan mining by divide-andconquer,"J Han, Q Yang, E Kim","Proceedings of SIGMODÌ¢??99 Workshop on Research Issues on  &hellip;,",,153
K-Z4In4KMTQJ,Unsupervised Image Segmentation by Stochastic Reconstruction,"V Metzler, R Vandenhouten, J Krone, R Grebe",,,154
TVp1tqpYTDkJ,Contextual Method for the Re-design of Existing Software Products,"R Jones, N Milic-Frayling, K Rodden, A Blackwell",,,155
w1CLOhbJhDsJ,Imaging of layered structures in biological tissues with opto-acoustic front surface transducer,"AA Karabutov, EV Savateeva, AA Oraevsky","Proc. SPIE,",1999,156
mvFxtMmgRAgJ,"Foundations of Differential Geometry (Interscience, New York, 1963)","S Kobayashi, K Nomizu",Vol.,,157
isW9Z4PIs0YJ,Blind Nasotracheal Intubation in the Presence of Facial Trauma,"CL Rosen, RE Wolfe, SE Chew, SW Branney, EJ Roe","JOURNAL OF EMERGENCY MEDICINE,",1997,158
Qn_jWGPNOo4J,Electron Microscopy and Diffraction of Twinned Structures in Evaporated Films of Gold,"DW Pashley, MJ Stowell","Phil. Mag,",,159
OOZb-r3GUTMJ,Genera crustaceorum et insectorum,PA Latreille,"Tomus I,",,160
JeTFKz0CmxEJ,Legal Studies and Mediation.,J Rifkin,"New Directions for Higher Education,",1980,161
JyTArxFIMecJ,Ethical Decision Making in Organizations: A Person-Situation Interactionist Model,LK Trevino,"The Academy of Management Review,",1986,162
EqF1i1bl7GIJ,Application servers (panel session): born-again TP monitors for the Web,"C Mohan, L Cable, M Devin, S Dietzen, P Helland, D ","Proceedings of the 2001 ACM SIGMOD international conference  &hellip;,",2001,163
mKIHMKxtxBQJ,"WS-CatalogNet: An Infrastructure for Creating, Peering, and Querying e-Catalog Communities","K Baina, B Benatallah, H Paik, F Toumani, C Rey, A ","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",,164
dr0I1_OTjdgJ,Pollution Prevention at Shipyards,PNPPR Center,"Seattle, Washington, September,",,165
8K19hGoG2K8J,Stochastic averaging of Hamiltonian systems: a direct martingale proof of a result by Freidlin and  ,"R Sowers, N Sri Namachchivaya","Submitted for publication,",,166
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310071%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,NSF Workshop on Industrial/Academic Cooperation in Database Systems,"M Carey, L Seligman","SIGMOD Record,",1999,167
JRhHVF7f7rwJ,Ì_å_-spectrometric determination of the content of natural radionuclides in ground water,"A Mukhamedov, GV Poteshkin, US SalikhbaevÌ¢?å_",At.,,168
yPeKQ2D1dRgJ,Controlled trial of Internet based treatment for chronic back pain,"M Buhrman, S FÌÄå_ltenhag, L StrÌÄå_m, G Andersson","Unpublished manuscript,",,169
95QbEi1e_rAJ,Evaluation of local detectors on non-planar scenes,"F Fraundorfer, H Bischof",,,170
FhpFMAc1rzYJ,Participation's Effects on Performance and Satisfaction: A Reconsideration of Research Evidence,JA Wagner III,"The Academy of Management Review,",1994,171
CJ3wL4FeuvMJ,Using New Clues to Find Data,"C Fie1771 Fields, N Negroponte","Third International Conference on Very Large Data Bases,  &hellip;,",,172
QfR8jZOQI6QJ,"Imino Esters: Versatile Substrates for the Catalytic, Asymmetric Synthesis of R-and Ì_å_-","AE Taggi, AM Hafez, TR Lectka","Amino Acids and Ì_å_-Lactams. Acc. Chem. Res,",,173
2ACfLS1IpwQJ,CAME: the first step to automated software engineering,M Saeki,"Procs. OOPSLA 2003 Workshop on Process Engineering for  &hellip;,",,174
npG51orAPBkJ,Address compression through base register caching,"A Park, M Farrens",,,175
KrVgTXcNPPUJ,"Selectivity Estimation in Spatial Databases, ACM SIGMOD Intl","S Achaya, V Poosala, S Ramaswamy","Conference on Management of Data,",,176
_R8P8Xq2z-AJ,to Edit RDF,U ProtÌÄå©gÌÄå©,,,177
RYmtnzRENusJ,Exploiting Temporal Parallelism for Software-Only Video Effects Processing,"K Mayer-Patel, LA Rowe",,,178
gRCVf_OAkXwJ,"II, Fundamentals of parallel logic simulation",RJ Smith,"Proceedings of the 23rd ACM/IEEE conference on Design  &hellip;,",,179
QPpUo7m3A7cJ,Efficient Transparent Application Recovery,"D Lomet, G Weikum",Client-Server Information Systems.,,180
syoqNSarAscJ,Parametric Query Optimization for Linear and Piecewise Linear Cost Functions,"AH HS02, S Sudarshan",,2002,181
7K21pBTcNp0J,Personal communication,P Hunt,"Herpetologist, Santa Barbara, California,",,182
Gk7-d_NfqMEJ,"Predatory behavior of grizzly bears feeding on elk calves in Yellowstone National Park, 1986-88","SP French, MG French","International Conference on Bear Research and Management,",,183
Rdp2Y3zxvYwJ,DOLPHIN: integrated meeting support across local and remote desktop environments and LiveBoards,"NA Streitz, J GeiÌÄ?ler, JM Haake, J Hol","Proceedings of the 1994 ACM conference on Computer supported &hellip;,",1994,184
EtRstiL1C-QJ,"Potential Interference to GPS from UWB Transmitters; Phase II Test Results: Accuracy, Loss-of-Lock,  ","M Luo, M Koenig, D Akos, S Pullen, P Enge","Technical Report 3.0, Stanford University, March",,185
JEY4MNdwsggJ,Capitalistic mathematics,VP Maslov,Manuscript,,186
JwVaYwgPqNUJ,SantilliÌ¢??s LieÌ¢??Isotopic Generalization of GalileiÌ¢??s and EinsteinÌ¢??s Relativities (1990),"AK Aringazin, A Jannussis, DF Lopez, M Nishioka, B ","Kostarakis Publisher, Athens, Greece",,187
aUM8wzJhDDgJ,Rainwater-harvesting agriculture for food production in arid zones: the challenge of the African  ,"HJ Bruins, M Evenari, U Nessler","Applied Geography,",,188
FHKbOnShy9EJ,KNOWLEDGE OF BLINDNESS ADAPTATION TECHNIQUES AMONG REHABILITATION UNDERGRADUATE STUDENTS,MJ Hoover,,2003,189
6aXSCUggjKoJ,Personal communications,J Mao,"IBM Almaden Research Center,",,190
d3jIzcfceEUJ,"Behavioral ecology and the evolution of hunter-gatherer societies on the Northern Channel Islands,  ",DJ Kennett,,1998,191
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507366%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,Report on the 18th British National Conference on Databases (BNCOD),"C Goble, B Read","SIGMOD Record,",2002,192
